name,mrp,offer_price,image_url,source_images
Britannia Bourbon BritanniaBourbonTheOriginal,4.5,,,WhatsApp Image 2026-04-18 at 10.23.04 AM (2).jpeg
Britannia Cake,10,,,WhatsApp Image 2026-04-18 at 10.23.07 AM.jpeg; WhatsApp Image 2026-04-18 at 10.23.09 AM.jpeg
Britannia Good Day Chocochip Cookies,5.0,,,WhatsApp Image 2026-04-18 at 10.23.05 AM (2).jpeg
Britannia Jim Jam BritanniaTreatJimJamBiscuits,10.0,,,WhatsApp Image 2026-04-18 at 10.23.05 AM.jpeg
Britannia Little Hearts Britannia LittleHeartsClassic,10.0,,,WhatsApp Image 2026-04-18 at 10.23.07 AM (1).jpeg
"Britannia Marie Gold Biscuits, 250g Pack",,,,
Britannia Nice Time BritanniaNiceTimeBiscuits,10.0,,,WhatsApp Image 2026-04-18 at 10.23.06 AM.jpeg
"Britannia TigerKreemz, Choco, 33.4gPack",5,,,WhatsApp Image 2026-04-18 at 10.23.08 AM.jpeg
Britannia Toastea GOLD 6 days left RENEWNOW at299389 BEST SELLER BritanniaToasteaPremium Bake Rusk,10,,,WhatsApp Image 2026-04-18 at 10.23.04 AM.jpeg
"Britannia Treat Choco Creme, 43g Pack",10,,,WhatsApp Image 2026-04-18 at 10.23.09 AM (1).jpeg
"Britannia Vita Marie Gold Biscuits, 61g Pack",,,,
Britannia5050MaskaChaska Biscuits,5.0,,,WhatsApp Image 2026-04-18 at 10.23.06 AM (1).jpeg; WhatsApp Image 2026-04-18 at 10.23.08 AM (1).jpeg
"Britannia5050SweetandSalty Biscuit, 62.89g Pack",10,,,WhatsApp Image 2026-04-18 at 10.23.06 AM (1).jpeg
Britannia5050TimePas Classic,10,,,WhatsApp Image 2026-04-18 at 10.23.06 AM (1).jpeg
"Britannia5050TimePass, Classic",10.0,,,WhatsApp Image 2026-04-18 at 10.23.08 AM (1).jpeg
BritanniaCake,10,,,WhatsApp Image 2026-04-18 at 10.23.07 AM.jpeg; WhatsApp Image 2026-04-18 at 10.23.09 AM.jpeg
BritanniaGoodDayButter Cookies,5,,,WhatsApp Image 2026-04-18 at 10.23.03 AM.jpeg
BritanniaGoodDayCashew AlmondCookies,5,,,WhatsApp Image 2026-04-18 at 10.23.05 AM (2).jpeg
BritanniaGoodDayCashew Cookies,5,,,WhatsApp Image 2026-04-18 at 10.23.03 AM.jpeg
BritanniaGoodDayPista BadamCookies,10.0,,,WhatsApp Image 2026-04-18 at 10.23.05 AM (2).jpeg
BritanniaMarieGoldBiscuits,40,,,WhatsApp Image 2026-04-18 at 10.23.04 AM (1).jpeg
"BritanniaMilkBikis100%Atta Biscuit,33.5gPack",5,,,WhatsApp Image 2026-04-18 at 10.23.05 AM (1).jpeg
BritanniaMilkBikisBiscuits,10,,,WhatsApp Image 2026-04-18 at 10.23.05 AM (1).jpeg
BritanniaNutriChoiceDigestive Biscuits,10,,,WhatsApp Image 2026-04-18 at 10.23.09 AM (2).jpeg
BritanniaTigerGlucose Biscuits,5,,,WhatsApp Image 2026-04-18 at 10.23.07 AM (2).jpeg
"BritanniaTigerKreemz,Choco, 33.4aPack",5.0,,,WhatsApp Image 2026-04-18 at 10.23.07 AM (2).jpeg
BritanniaTigerKreemzBiscuits,5,,,WhatsApp Image 2026-04-18 at 10.23.08 AM.jpeg
BritanniaTigerKrunchBiscuits,5.0,,,WhatsApp Image 2026-04-18 at 10.23.07 AM (2).jpeg
BritanniaToasteaMilkAtta Rusk,35,,,WhatsApp Image 2026-04-18 at 10.23.04 AM.jpeg
BritanniaTreatCroissant,20,,,WhatsApp Image 2026-04-18 at 10.23.08 AM (2).jpeg; WhatsApp Image 2026-04-18 at 10.23.09 AM (1).jpeg
BritanniaVitaMarieGold Biscuits,5.0,,,WhatsApp Image 2026-04-18 at 10.23.04 AM (1).jpeg
